N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
133,한화생명,"2,555",70,+2.82%,"5,000","22,191","868,530",7.29,"2,014,850",1.86,10.79,
134,KODEX 레버리지,"18,135",815,+4.71%,0,"21,463","118,350",1.87,"19,933,999",N/A,N/A,
135,한화,"28,450",400,+1.43%,"5,000","21,326","74,959",15.89,"124,812",3.09,20.22,
136,녹십자,"182,000","7,000",+4.00%,"5,000","21,269","11,687",22.38,"27,838",17.26,10.30,
137,롯데정밀화학,"79,500",600,+0.76%,"5,000","20,511","25,800",19.90,"74,895",3.50,30.43,
138,효성첨단소재,"455,000","7,000",+1.56%,"5,000","20,384","4,480",6.24,"17,230",8.13,54.69,
139,DL이앤씨,"52,600","1,200",+2.33%,"5,000","20,353","38,694",20.27,"175,812",3.88,N/A,
140,영원무역,"45,200","1,100",+2.49%,500,"20,029","44,311",28.82,"50,496",6.72,14.71,
141,현대로템,"18,250",450,+2.53%,"5,000","19,918","109,142",4.45,"407,476",29.97,5.01,
142,TIGER 미국나스닥100,"69,430",490,+0.71%,0,"19,760","28,460",0.13,"379,756",N/A,N/A,
143,씨에스윈드,"46,350",50,-0.11%,500,"19,546","42,171",11.14,"376,840",28.95,10.13,
144,대웅제약,"168,500","2,500",+1.51%,"2,500","19,523","11,587",7.65,"20,151",79.18,4.39,
145,KODEX 단기채권PLUS,"103,900",5,0.00%,0,"19,502","18,770",0.03,"1,622,948",N/A,N/A,
146,LS,"59,800",700,+1.18%,"5,000","19,256","32,200",12.80,"103,778",6.93,8.15,
147,LG화학우,"249,000","4,500",+1.84%,"5,000","19,145","7,689",70.83,"7,774",5.31,N/A,
148,솔루스첨단소재,"62,500","1,700",+2.80%,100,"19,119","30,590",5.48,"102,055",216.26,4.00,
149,KODEX 200선물인버스2X,"2,695",135,-4.77%,0,"18,515","687,000",3.27,"212,985,623",N/A,N/A,
150,농심,"303,000","3,000",+1.00%,"5,000","18,430","6,083",12.64,"8,550",18.46,4.73,
151,현대백화점,"78,500","1,500",+1.95%,"5,000","18,371","23,402",18.92,"89,878",9.70,4.36,
152,현대위아,"66,700","4,100",+6.55%,"5,000","18,139","27,195",6.78,"325,038",29.10,1.96,
153,휠라홀딩스,"29,850",200,+0.67%,"1,000","18,135","60,752",38.22,"273,568",7.71,16.20,
154,TIGER 200,"34,670",830,+2.45%,0,"18,046","52,050",0.48,"707,647",N/A,N/A,
155,TIGER 단기통안채,"100,865",10,+0.01%,0,"17,866","17,713",0.67,"1,255,621",N/A,N/A,
156,KG스틸,"17,850","3,950",-18.12%,"5,000","17,852","100,009",0.54,"20,457,323",9.36,17.99,
157,후성,"19,250","1,150",+6.35%,500,"17,827","92,607",5.82,"1,367,407",78.89,9.61,
158,코오롱인더,"64,700","1,800",+2.86%,"5,000","17,805","27,519",18.53,"183,945",10.21,8.20,
159,효성,"82,500","1,700",+2.10%,"5,000","17,384","21,071",6.38,"29,370",3.97,18.04,
160,롯데칠성,"186,500","1,000",-0.53%,500,"17,305","9,279",10.59,"30,624",13.63,9.96,
161,LIG넥스원,"77,700",900,+1.17%,"5,000","17,094","22,000",10.17,"208,152",16.27,14.63,
162,동국제강,"17,850",300,+1.71%,"5,000","17,035","95,433",21.82,"423,323",3.09,23.41,
163,JB금융지주,"8,600",60,+0.70%,"5,000","16,941","196,983",41.97,"210,259",3.34,12.80,
164,대웅,"28,850","1,100",+3.96%,500,"16,774","58,142",4.56,"40,807",21.29,11.13,
165,오뚜기,"453,500","10,000",+2.25%,"5,000","16,652","3,672",12.13,"3,265",12.87,8.91,
166,동원시스템즈,"56,900","2,200",+4.02%,"5,000","16,608","29,188",13.02,"29,728",38.21,6.95,
167,한전KPS,"36,800",600,+1.66%,200,"16,560","45,000",5.47,"184,862",16.78,9.12,
168,효성티앤씨,"373,000","6,500",+1.77%,"5,000","16,142","4,328",10.07,"16,777",2.10,76.22,
169,한샘,"67,700","1,800",+2.73%,"1,000","15,932","23,534",14.19,"86,929",28.48,9.10,
170,TIGER 미국S&P500,"12,780",65,+0.51%,0,"15,585","121,950",0.30,"2,046,916",N/A,N/A,
171,대덕전자,"31,250","1,150",+3.82%,500,"15,443","49,417",16.35,"948,313",25.53,9.55,
172,아이에스동서,"48,900","1,300",+2.73%,500,"15,106","30,893",4.66,"42,751",14.39,8.69,
173,KODEX 단기채권,"103,445",10,+0.01%,0,"14,930","14,433",0.00,"485,145",N/A,N/A,
174,일진하이솔루스,"41,100","2,700",+7.03%,500,"14,925","36,313",1.88,"206,599",144.72,4.97,
175,코스모신소재,"49,500",800,+1.64%,"1,000","14,893","30,087",7.90,"831,390",81.95,9.42,
176,LS ELECTRIC,"49,500",650,+1.33%,"5,000","14,850","30,000",14.75,"77,568",17.52,5.86,
177,신풍제약,"27,850",550,+2.01%,500,"14,756","52,985",5.80,"345,403",-132.62,-3.19,
178,LX인터내셔널,"37,850",50,-0.13%,"5,000","14,671","38,760",24.09,"330,057",4.19,22.49,
179,ESR켄달스퀘어리츠,"6,860",190,+2.85%,"1,000","14,618","213,089",53.35,"846,287",49.00,1.34,
180,DGB금융지주,"8,560",60,+0.71%,"5,000","14,479","169,146",49.55,"705,934",2.88,9.63,
181,KODEX 종합채권(AA-이상)액티브,"103,620",5,0.00%,0,"14,335","13,834",0.00,"2,760",N/A,N/A,
182,롯데렌탈,"38,950","1,200",+3.18%,"5,000","14,269","36,634",4.51,"109,073",10.57,12.28,
183,현대엘리베이,"34,800","1,250",+3.73%,"5,000","14,204","40,815",30.00,"110,753",12.56,10.62,
184,KODEX 삼성그룹,"8,880",230,+2.66%,0,"14,155","159,400",0.10,"390,409",N/A,N/A,
185,롯데리츠,"5,780",30,+0.52%,500,"14,044","242,969",9.43,"157,056",76.05,1.59,
186,한미반도체,"14,100",150,+1.08%,100,"13,948","98,920",5.75,"303,138",13.45,34.59,
187,아시아나항공,"18,550",550,+3.06%,"5,000","13,803","74,412",7.89,"296,824",-3.81,-47.21,
188,두산,"82,100","1,700",+2.11%,"5,000","13,566","16,524",11.12,"88,031",8.30,11.08,
189,에스엘,"27,750",250,-0.89%,500,"13,376","48,203",13.79,"321,983",13.87,6.63,
190,한국앤컴퍼니,"14,050",350,+2.55%,500,"13,338","94,935",9.73,"85,267",6.73,5.53,
191,DL,"63,500",900,+1.44%,"5,000","13,307","20,956",12.27,"39,051",1.53,26.52,
192,TIGER 미국필라델피아반도체나스닥,"9,910",185,+1.90%,0,"13,165","132,850",0.00,"1,765,466",N/A,N/A,
193,PI첨단소재,"44,750","1,200",+2.76%,500,"13,141","29,366",10.19,"51,091",20.54,21.03,
194,한일시멘트,"18,650",50,+0.27%,500,"12,917","69,262",3.22,"56,805",16.43,5.89,
195,KODEX 2차전지산업,"19,060",615,+3.33%,0,"12,885","67,600",0.68,"1,635,436",N/A,N/A,
196,TIGER MSCI Korea TR,"14,060",315,+2.29%,0,"12,879","91,600",3.82,"5,743",N/A,N/A,
197,TIGER 미국테크TOP10 INDXX,"10,210",0,0.00%,0,"12,569","123,100",0.76,"817,232",N/A,N/A,
198,TIGER 2차전지테마,"19,460",640,+3.40%,0,"12,561","64,550",0.96,"1,474,353",N/A,N/A,
199,현대두산인프라코어,"6,320",120,+1.94%,"1,000","12,479","197,456",9.68,"924,376",2.76,24.63,
200,일동제약,"45,750","4,100",+9.84%,"1,000","12,262","26,803",1.83,"6,976,876",-10.92,-48.94,
